,Time,error_pat,des_pat,Acc.
0,0,10,00,92.72999999999976
1,1,10,00,92.7571
2,2,10,00,92.51140000000001
3,3,10,00,91.91260000000003
4,4,10,00,90.96829999999996
5,5,10,00,89.12570000000001
6,6,10,00,86.34689999999999
7,7,10,00,81.54909999999998
8,8,10,00,71.94949999999996
9,9,10,00,57.2697
10,10,10,00,39.43469999999999
11,11,10,00,26.0638
12,12,10,00,16.021799999999995
13,13,10,00,11.380399999999998
14,14,10,00,10.738
15,15,10,00,10.229399999999998
16,16,10,00,10.0784
17,17,10,00,10.029599999999999
18,18,10,00,10.0173
19,19,10,00,10.0
20,20,10,00,9.9984
21,21,10,00,9.998099999999999
22,22,10,00,10.0018
23,23,10,00,10.006599999999999
24,24,10,00,9.9914
