,Time,error_pat,des_pat,Acc.
0,0,01,00,90.68999999999988
1,1,01,00,90.68819999999992
2,2,01,00,90.68299999999994
3,3,01,00,90.68710000000002
4,4,01,00,90.70030000000001
5,5,01,00,90.72840000000001
6,6,01,00,90.7725
7,7,01,00,90.7569
8,8,01,00,90.77850000000002
9,9,01,00,90.77910000000003
10,10,01,00,90.69030000000001
11,11,01,00,90.44320000000002
12,12,01,00,89.94959999999999
13,13,01,00,89.1182
14,14,01,00,87.7801
15,15,01,00,85.44810000000003
16,16,01,00,82.5054
17,17,01,00,76.86840000000001
18,18,01,00,69.6027
19,19,01,00,60.10689999999997
20,20,01,00,49.522700000000015
21,21,01,00,39.6901
22,22,01,00,31.8055
23,23,01,00,26.0553
24,24,01,00,21.265200000000007
