,Time,Acc.
0,0.0,93.73999999999984
1,1.0,93.70669999999998
2,2.0,93.3011
3,3.0,92.01979999999998
4,4.0,88.79639999999998
5,5.0,81.26750000000001
6,6.0,59.91440000000002
7,7.0,26.568299999999994
8,8.0,10.881000000000002
9,9.0,10.098699999999997
10,10.0,10.167699999999998
11,11.0,10.2739
12,12.0,10.259499999999997
13,13.0,10.0383
14,14.0,10.0053
15,15.0,10.001900000000001
16,16.0,10.0
17,17.0,10.014100000000001
18,18.0,10.0125
19,19.0,10.0
20,20.0,10.0
21,21.0,10.0
22,22.0,10.0
23,23.0,10.0
24,24.0,10.0
