,Time,Acc.
0,0.0,93.73999999999984
1,1.0,93.76430000000002
2,2.0,93.77339999999998
3,3.0,93.73820000000003
4,4.0,93.5695
5,5.0,93.12190000000002
6,6.0,92.1917
7,7.0,90.72559999999994
8,8.0,87.59799999999996
9,9.0,82.34149999999998
10,10.0,72.14579999999997
11,11.0,52.85009999999998
12,12.0,32.496399999999994
13,13.0,18.370700000000003
14,14.0,11.4026
15,15.0,10.415199999999997
16,16.0,10.0208
17,17.0,10.0
18,18.0,10.0
19,19.0,10.0
20,20.0,10.0
21,21.0,10.0
22,22.0,10.0
23,23.0,10.0
24,24.0,10.0
