,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.80880000000003
2,2.0,92.67540000000001
3,3.0,92.45649999999998
4,4.0,91.92659999999998
5,5.0,91.03750000000002
6,6.0,89.39829999999998
7,7.0,86.75709999999998
8,8.0,82.37479999999998
9,9.0,74.28619999999998
10,10.0,63.1528
11,11.0,44.37840000000003
12,12.0,23.9551
13,13.0,12.448600000000004
14,14.0,10.253899999999996
15,15.0,9.957799999999999
16,16.0,9.994599999999998
17,17.0,9.993
18,18.0,10.0
19,19.0,10.0009
20,20.0,10.0139
21,21.0,10.0
22,22.0,10.0236
23,23.0,9.9992
24,24.0,10.005
