,Time,error_pat,des_pat,Acc.
0,0,11,10,93.73999999999984
1,1,11,10,93.76860000000002
2,2,11,10,93.77000000000004
3,3,11,10,93.7448
4,4,11,10,93.67750000000002
5,5,11,10,93.5516
6,6,11,10,93.31950000000002
7,7,11,10,92.90179999999997
8,8,11,10,92.15020000000004
9,9,11,10,90.75600000000006
10,10,11,10,87.87670000000001
11,11,11,10,81.9614
12,12,11,10,70.50720000000003
13,13,11,10,50.842100000000016
14,14,11,10,29.04689999999999
15,15,11,10,15.770599999999995
16,16,11,10,12.377
17,17,11,10,10.721499999999994
18,18,11,10,10.397399999999996
