,Time,error_pat,des_pat,Acc.
0,0,01,00,92.85999999999994
1,1,01,00,92.64599999999994
2,2,01,00,91.6637
3,3,01,00,88.81630000000003
4,4,01,00,82.97
5,5,01,00,67.12640000000002
6,6,01,00,41.962700000000005
7,7,01,00,15.557900000000002
8,8,01,00,10.110199999999997
9,9,01,00,10.0
10,10,01,00,10.0
11,11,01,00,10.0
12,12,01,00,10.0
13,13,01,00,10.0
14,14,01,00,10.0
15,15,01,00,10.0
16,16,01,00,10.0
17,17,01,00,10.0
18,18,01,00,10.0
19,19,01,00,9.9985
20,20,01,00,9.9992
21,21,01,00,10.0145
22,22,01,00,9.9986
23,23,01,00,9.9993
24,24,01,00,10.0002
