,Time,error_pat,des_pat,Acc.
0,0,10,11,90.68000000000012
1,1,10,11,90.51230000000004
2,2,10,11,89.7996
3,3,10,11,88.23219999999999
4,4,10,11,84.82050000000002
5,5,10,11,74.0737
6,6,10,11,48.836099999999995
7,7,10,11,22.063300000000005
8,8,10,11,12.220600000000001
9,9,10,11,10.0
10,10,10,11,10.0
11,11,10,11,10.0
12,12,10,11,10.0
13,13,10,11,10.0
14,14,10,11,10.0
15,15,10,11,10.0
16,16,10,11,10.0
17,17,10,11,10.0
18,18,10,11,10.0
19,19,10,11,10.0
20,20,10,11,10.0
21,21,10,11,10.0
22,22,10,11,10.0
23,23,10,11,10.0
24,24,10,11,10.0
