,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.67489999999998
2,2.0,90.77769999999997
3,3.0,89.99309999999997
4,4.0,86.1174
5,5.0,73.36319999999999
6,6.0,46.2034
7,7.0,23.7703
8,8.0,13.338699999999996
9,9.0,11.068299999999997
10,10.0,10.8026
11,11.0,10.451999999999998
12,12.0,9.7148
13,13.0,9.572000000000005
14,14.0,10.5286
15,15.0,10.5286
16,16.0,10.5286
17,17.0,10.5286
18,18.0,10.7963
19,19.0,10.883700000000001
20,20.0,10.415999999999995
21,21.0,10.184000000000001
22,22.0,10.0808
23,23.0,10.041200000000005
24,24.0,10.004300000000002
