,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.84880000000004
2,2.0,92.79010000000005
3,3.0,92.70530000000008
4,4.0,92.54810000000002
5,5.0,92.28379999999997
6,6.0,91.72399999999999
7,7.0,90.56349999999996
8,8.0,89.22710000000001
9,9.0,87.05339999999998
10,10.0,82.80070000000002
11,11.0,77.54009999999998
12,12.0,65.78019999999998
13,13.0,52.08320000000001
14,14.0,39.12729999999999
15,15.0,27.042
16,16.0,18.679799999999986
17,17.0,13.604999999999995
18,18.0,11.639199999999999
19,19.0,11.1436
20,20.0,10.573100000000002
21,21.0,10.3169
22,22.0,10.1671
23,23.0,10.1272
24,24.0,10.0846
