,Time,Acc.
0,0.0,82.01000000000016
1,1.0,81.45899999999999
2,2.0,75.51030000000002
3,3.0,52.12330000000001
4,4.0,22.3883
5,5.0,11.417699999999998
6,6.0,10.2606
7,7.0,10.031300000000002
8,8.0,10.017
9,9.0,10.0367
10,10.0,9.978
11,11.0,9.8881
12,12.0,9.901700000000002
13,13.0,9.7375
14,14.0,9.747800000000002
15,15.0,9.684399999999997
16,16.0,9.701099999999999
17,17.0,9.844800000000005
18,18.0,9.894199999999998
19,19.0,9.974200000000002
20,20.0,9.977600000000002
21,21.0,9.987400000000003
22,22.0,9.9959
23,23.0,9.997
24,24.0,9.9998
